survey_type,site,site depth,date,trip,quadrat,depth_at_survey,depth,depth2,bag_or_natural,bag_or_nearest_bag_if_natural,piece,unique_piece,widest_span_cm,widest_span_mm,morph,stable_bin,bound_bin,no_pieces_bound_to_it,number_binds,quadrat_angle,bed_depth1,bed_depth2,bed_depth3,bed_depth4,bed_depth5,bed_depth6,bed_depth7,bed_depth8,number_contact_points,max_gap_size_to_right_cm,contact_length_1,contact_length_2,contact_length_3,contact_length_4,contact_length_5,contact_length_6,contact_length_7,contact_length_8,contact_length_9,binder_1,binder1_length_cm,binder1_distance_cm,binder_2,binder2_length_cm,binder2_distance_cm,binder_3,binder3_length_cm,binder3_distance_cm,binder_4,binder4_length_cm,binder4_distance_cm,binder_5,binder5_length_cm,binder5_distance_cm,binder_6,binder6_length_cm,binder6_distance_cm,binder_7,binder7_length_cm,binder7_distance_cm,strength_if_tested
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,3,875,13.2,132,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,3,NA,53,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,4,876,6.4,64,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,3,NA,2,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,5,877,8.2,82,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,2,NA,9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,6,878,16.5,165,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,3,NA,26,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,7,879,12.5,125,branched,1,0,0,0,gentle,35,74,55,112,64,104,14,92,2,NA,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,8,880,5.6,56,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,9,881,16.6,166,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,3,NA,24,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,10,882,8.4,84,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,11,883,4.5,45,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bag,Pinnacle,3-5m,44692,May_2022,40,5.4,shallow,shallow,natural,B4,12,884,5.4,54,branched,0,0,0,0,gentle,35,74,55,112,64,104,14,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
